temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.075,0.021,0.0
1,-4.96999999999997,8.960000000000036,0.071,0.023,0.019
2,-17.370000000000005,24.310000000000002,0.044,0.02,0.021
3,-32.93000000000001,31.79000000000002,0.031,0.023,0.023
4,-55.43000000000001,39.19999999999999,0.025,0.022,0.032
5,-78.44999999999999,47.389999999999986,0.026,0.025,0.033
6,-100.93,55.80000000000001,0.027,0.024,0.033
7,-122.66999999999999,62.920000000000016,0.024,0.019,0.031
8,-140.97,68.96000000000004,0.034,0.024,0.029
9,-151.41,75.94999999999999,0.049,0.025,0.022
10,-156.93,80.54000000000002,0.054,0.03,0.012
